"Date","Price","Open","High","Low","Vol.","Change %"
"26-06-2024","24,867.15","24,754.65","24,888.30","24,689.95","779.78M","0.44%"
"25-06-2024","24,757.80","24,674.10","24,786.70","24,626.00","654.97M","0.55%"
"24-06-2024","24,621.60","24,443.75","24,635.85","24,382.15","629.19M","0.27%"
"21-06-2024","24,555.50","24,743.55","24,746.40","24,480.30","1.07B","-0.38%"
"20-06-2024","24,649.85","24,668.65","24,695.50","24,532.85","676.34M","0.20%"
"19-06-2024","24,599.90","24,762.50","24,763.60","24,499.30","862.78M","-0.34%"
"18-06-2024","24,683.55","24,689.75","24,700.60","24,612.95","708.61M","0.46%"
"14-06-2024","24,571.65","24,529.00","24,592.90","24,411.15","671.83M","0.50%"
"13-06-2024","24,449.50","24,527.05","24,527.15","24,376.75","732.49M","0.41%"
"12-06-2024","24,348.80","24,358.85","24,445.80","24,313.40","752.00M","0.32%"
"11-06-2024","24,271.05","24,306.40","24,403.65","24,222.35","761.39M","0.00%"
"10-06-2024","24,271.15","24,328.95","24,417.80","24,229.15","796.18M","0.02%"
"07-06-2024","24,266.05","23,812.95","24,291.35","23,758.10","976.73M","1.93%"
"06-06-2024","23,806.95","23,754.95","23,917.05","23,627.45","1.16B","1.09%"
"05-06-2024","23,550.75","23,027.70","23,597.20","22,563.65","1.78B","3.57%"
"04-06-2024","22,739.60","24,268.05","24,268.05","22,003.75","2.90B","-6.59%"
"03-06-2024","24,344.20","24,444.70","24,445.20","24,133.15","1.55B","3.51%"
"31-05-2024","23,518.05","23,561.85","23,620.55","23,439.70","1.69B","0.22%"
"30-05-2024","23,466.30","23,609.90","23,696.20","23,393.30","816.05M","-0.93%"
"29-05-2024","23,687.70","23,744.95","23,816.35","23,670.95","680.06M","-0.78%"
"28-05-2024","23,873.90","24,011.45","24,028.15","23,840.05","626.89M","-0.36%"
"27-05-2024","23,959.85","24,075.00","24,106.85","23,903.30","761.51M","-0.08%"
"24-05-2024","23,980.10","23,962.20","24,060.75","23,926.40","751.65M","-0.01%"
"23-05-2024","23,982.35","23,662.90","24,004.85","23,632.45","982.43M","1.47%"
"22-05-2024","23,633.90","23,634.50","23,663.40","23,498.75","812.59M","0.27%"
"21-05-2024","23,569.90","23,450.95","23,625.90","23,449.75","985.97M","0.26%"
"18-05-2024","23,508.60","23,505.25","23,519.70","23,472.50","116.93M","0.27%"
"17-05-2024","23,444.30","23,368.35","23,466.00","23,307.25","770.24M","0.43%"
"16-05-2024","23,343.55","23,258.80","23,370.85","22,997.50","845.77M","0.91%"
"15-05-2024","23,133.85","23,177.80","23,224.85","23,078.05","677.79M","0.07%"
"14-05-2024","23,118.20","22,979.40","23,162.70","22,942.25","681.75M","0.71%"
"13-05-2024","22,956.35","22,904.40","22,988.35","22,630.85","733.21M","0.21%"
"10-05-2024","22,909.10","22,844.25","22,960.30","22,784.65","648.14M","0.52%"
"09-05-2024","22,790.20","23,114.60","23,190.40","22,763.30","787.65M","-1.62%"
"08-05-2024","23,166.00","23,040.80","23,236.65","22,982.85","737.48M","0.27%"
"07-05-2024","23,103.75","23,350.50","23,355.80","23,020.45","802.22M","-0.83%"
"06-05-2024","23,297.75","23,458.60","23,466.00","23,256.40","907.24M","-0.36%"
"03-05-2024","23,382.75","23,668.50","23,693.50","23,234.75","847.84M","-0.67%"
"02-05-2024","23,541.30","23,422.90","23,593.20","23,421.90","953.77M","0.45%"
"30-04-2024","23,436.50","23,499.75","23,618.70","23,402.75","948.98M","-0.03%"
"29-04-2024","23,443.80","23,305.70","23,457.90","23,250.90","671.80M","0.91%"
"26-04-2024","23,232.10","23,389.20","23,392.80","23,200.70","754.83M","-0.42%"
"25-04-2024","23,329.80","23,099.45","23,372.90","23,092.35","798.02M","0.70%"
"24-04-2024","23,167.80","23,177.00","23,230.65","23,148.30","544.82M","0.22%"
"23-04-2024","23,116.00","23,200.45","23,200.70","23,098.95","540.24M","0.16%"
"22-04-2024","23,078.90","23,067.30","23,115.65","22,934.35","630.97M","0.96%"
"19-04-2024","22,859.80","22,591.10","22,896.50","22,469.05","732.68M","0.53%"
"18-04-2024","22,740.20","22,964.05","23,080.50","22,702.65","910.22M","-0.57%"
"16-04-2024","22,870.30","22,834.10","22,944.65","22,798.20","720.07M","-0.42%"
"15-04-2024","22,967.10","23,026.70","23,139.30","22,908.60","852.00M","-1.24%"
"12-04-2024","23,254.90","23,412.85","23,466.80","23,244.40","803.52M","-0.94%"
"10-04-2024","23,474.70","23,431.95","23,494.80","23,391.80","676.67M","0.54%"
"09-04-2024","23,348.90","23,480.10","23,480.40","23,304.50","580.81M","-0.13%"
"08-04-2024","23,380.30","23,324.90","23,422.30","23,289.25","595.27M","0.60%"
"05-04-2024","23,240.55","23,185.30","23,262.90","23,128.90","650.13M","0.15%"
"04-04-2024","23,206.00","23,304.20","23,327.95","23,034.00","825.00M","0.30%"
"03-04-2024","23,136.60","23,077.70","23,212.55","23,038.20","757.01M","-0.01%"
"02-04-2024","23,138.55","23,124.30","23,162.55","23,056.30","736.20M","0.14%"
"01-04-2024","23,107.15","23,065.15","23,161.75","23,058.65","561.39M","0.81%"
"28-03-2024","22,920.70","22,747.55","23,090.20","22,747.55","643.01M","0.98%"
"27-03-2024","22,698.50","22,661.70","22,793.15","22,661.70","710.92M","0.43%"
"26-03-2024","22,601.35","22,494.15","22,650.40","22,493.70","601.13M","-0.14%"
"22-03-2024","22,633.80","22,476.70","22,709.35","22,414.50","630.02M","0.42%"
"21-03-2024","22,538.90","22,472.60","22,583.05","22,445.15","632.17M","1.04%"
"20-03-2024","22,307.75","22,310.30","22,383.10","22,140.20","552.67M","0.15%"
"19-03-2024","22,274.65","22,449.20","22,471.90","22,254.55","595.01M","-1.18%"
"18-03-2024","22,541.15","22,462.30","22,607.50","22,393.70","600.70M","0.21%"
"15-03-2024","22,494.70","22,548.55","22,613.90","22,367.65","1.22B","-0.57%"
"14-03-2024","22,623.70","22,371.35","22,664.20","22,296.65","754.66M","1.00%"
"13-03-2024","22,399.00","22,928.15","22,944.05","22,294.45","902.97M","-1.93%"
"12-03-2024","22,840.90","22,901.80","22,990.05","22,784.90","568.51M","-0.24%"
"11-03-2024","22,895.45","23,066.95","23,073.55","22,867.45","611.05M","-0.61%"
"07-03-2024","23,036.05","23,024.05","23,070.65","22,970.85","721.04M","0.21%"
"06-03-2024","22,988.35","22,878.55","23,011.55","22,724.10","1.17B","0.38%"
"05-03-2024","22,900.65","22,927.75","22,956.95","22,824.85","631.44M","-0.19%"
